Year ,Team,Result ,Coach ,Actual Wins ,Pythagorean Wins,Coach Face Score
1991,CHI,Champion,Phil Jackson,61–21,63,-2
1994,HOU,Champion,Rudy Tomjanovich,58–24,55,3
1996,CHI,Champion,Phil Jackson,72–10,73,-1
2003,SAS,Champion,Gregg Popovich,60–22,60,0
2006,MIA,Champion,Pat Riley,52–30,52,0
2011,DAL,Champion,Rick Carlisle,57–25,54,3
2015,GSW,Champion,Steve Kerr,67–15,65,2
2019,TOR,Champion,Nick Nurse,58–24,56,2
2023,DEN,Champion,Michael Malone,53–29,51,2
2026,NYK,Champion,Mike Brown,53–29,56,-3
,,,,,,
,,,,,,
1991,LAL,Loser,Mike Dunleavy Sr.,58–24,54,4
1994,NYK,Loser,Pat Riley,57–25,57,0
1996,SEA,Loser,George Karl,64–18,63,1
2003,NJN,Loser,Byron Scott,49–33,52,-3
2006,DAL,Loser,Avery Johnson,60–22,59,1
2011,MIA,Loser,Erik Spoelstra,58–24,61,-3
2015,CLE,Loser,David Blatt,53–29,53,0
2019,GSW,Loser,Steve Kerr,57–25,57,0
2023,MIA,Loser,Erik Spoelstra,44–38,43,1
2026,SAS,Loser,Mitch Johnson,62–20,60,2
